Date,Open,High,Low,Close,Adj Close,Volume
2018-04-03,521.099976,535.500000,520.000000,533.599976,529.289490,3507679
2018-04-04,535.450012,543.299988,518.200012,521.349976,517.138428,4959051
2018-04-05,529.000000,544.299988,529.000000,540.299988,535.935303,5282826
2018-04-06,539.799988,545.950012,533.400024,539.349976,534.993042,2768336
2018-04-09,534.000000,549.200012,526.650024,530.549988,526.264099,3754461
2018-04-10,526.250000,543.799988,526.250000,535.400024,531.074951,3506857
2018-04-11,539.000000,539.450012,526.900024,531.000000,526.710449,2225173
2018-04-12,530.500000,539.000000,526.000000,527.400024,523.139648,5227649
2018-04-13,530.700012,549.400024,528.000000,547.549988,543.126831,8961743
2018-04-16,546.099976,575.799988,542.099976,573.200012,568.569580,11510627
2018-04-17,576.599976,593.849976,571.349976,589.549988,584.787537,10918417
2018-04-18,592.150024,603.799988,590.599976,593.150024,588.358459,8249266
2018-04-19,595.900024,598.400024,590.000000,591.099976,586.324951,2697203
2018-04-20,589.950012,594.450012,575.000000,585.299988,580.571838,6078123
2018-04-23,587.000000,600.000000,577.349976,581.349976,576.653748,4953546
2018-04-24,584.000000,595.000000,577.000000,584.150024,579.431152,4367590
2018-04-25,585.299988,618.200012,584.450012,609.150024,604.229248,10481596
2018-04-26,613.799988,634.900024,613.500000,621.450012,616.429810,15995644
2018-04-27,623.500000,641.000000,623.500000,634.500000,629.374390,6312696
2018-04-30,639.299988,658.650024,637.400024,641.000000,635.821899,10900320
2018-05-02,646.900024,680.549988,624.400024,648.450012,643.211731,11956696
2018-05-03,645.400024,653.000000,625.000000,631.500000,626.398621,7000904
2018-05-04,638.000000,639.000000,626.150024,627.650024,622.579773,3949566
2018-05-07,631.799988,634.849976,621.650024,627.500000,622.430908,2770835
2018-05-08,633.549988,634.000000,621.099976,622.950012,617.917725,3123695
2018-05-09,623.099976,631.799988,621.000000,625.150024,620.099915,2376471
2018-05-10,627.799988,634.950012,620.349976,623.849976,618.810425,4069389
2018-05-11,625.549988,634.000000,625.000000,625.599976,620.546265,2613025
2018-05-14,627.400024,631.000000,625.000000,625.200012,620.149536,2334780
2018-05-15,624.950012,632.700012,621.000000,621.599976,616.578552,3835595
2018-05-16,620.000000,623.799988,615.000000,615.750000,610.775879,4265980
2018-05-17,615.000000,623.000000,614.000000,617.500000,612.511719,3695266
2018-05-18,624.900024,629.000000,611.000000,614.000000,609.039978,3586816
2018-05-21,619.799988,626.400024,592.099976,614.599976,609.635132,6661955
2018-05-22,618.000000,620.400024,600.650024,607.650024,602.741333,4866508
2018-05-23,605.849976,608.450012,600.000000,601.150024,596.293823,4118609
2018-05-24,606.250000,608.500000,600.000000,601.000000,596.145020,2921608
2018-05-25,601.950012,623.700012,601.049988,615.049988,610.081482,6039843
2018-05-28,618.299988,639.349976,618.299988,630.000000,624.910767,3421727
2018-05-29,627.799988,633.500000,620.000000,624.299988,619.256775,1994161
2018-05-30,613.700012,631.500000,611.450012,623.549988,618.512878,2880407
2018-05-31,628.799988,641.950012,610.000000,613.150024,608.196899,9113410
2018-06-01,613.000000,623.099976,606.250000,609.900024,604.973145,5268183
2018-06-04,614.700012,616.349976,597.900024,601.599976,596.740112,4346387
2018-06-05,600.000000,612.799988,581.150024,604.400024,599.517578,9074085
2018-06-06,601.000000,612.500000,600.000000,604.849976,599.963867,4099152
2018-06-07,609.500000,622.500000,605.000000,616.849976,611.866943,5309151
2018-06-08,616.200012,627.950012,612.250000,623.200012,618.165710,3558918
2018-06-11,622.000000,628.000000,615.049988,619.299988,614.297180,3063942
2018-06-12,619.000000,627.000000,616.150024,621.750000,616.727356,3073588
2018-06-13,624.000000,646.000000,622.000000,629.400024,624.315613,7874764
2018-06-14,624.000000,640.000000,622.000000,625.549988,620.496704,3916121
2018-06-15,627.799988,634.000000,613.150024,625.549988,620.496704,6039136
2018-06-18,625.000000,632.000000,618.000000,621.500000,616.479431,2199744
2018-06-19,618.000000,621.500000,612.000000,613.950012,611.450012,2862223
2018-06-20,615.500000,634.700012,613.000000,628.849976,628.849976,5285342
2018-06-21,634.700012,642.400024,624.450012,632.150024,632.150024,6295511
2018-06-22,634.950012,642.000000,622.299988,637.750000,637.750000,4875780
2018-06-25,640.799988,649.599976,630.000000,634.799988,634.799988,3116495
2018-06-26,633.950012,647.599976,631.250000,643.650024,643.650024,3472784
2018-06-27,645.500000,649.000000,635.000000,643.099976,643.099976,7341748
2018-06-28,640.000000,654.000000,633.000000,636.049988,636.049988,13795070
2018-06-29,639.000000,647.500000,635.000000,637.549988,637.549988,8468463
2018-07-02,643.000000,643.250000,617.549988,620.099976,620.099976,12053104
2018-07-03,615.000000,626.000000,610.000000,624.549988,624.549988,5892885
2018-07-04,627.000000,630.750000,621.000000,623.150024,623.150024,3921122
2018-07-05,624.500000,630.000000,620.000000,624.549988,624.549988,4173858
2018-07-06,626.000000,630.000000,615.250000,617.950012,617.950012,3698283
2018-07-09,623.000000,629.000000,614.900024,621.299988,621.299988,6793319
2018-07-10,618.200012,623.599976,608.000000,610.150024,610.150024,1905939
2018-07-11,608.900024,617.750000,604.000000,608.099976,608.099976,3993399
2018-07-12,613.450012,619.000000,608.500000,616.200012,616.200012,2771093
2018-07-13,616.799988,619.750000,602.049988,605.500000,605.500000,1832654
2018-07-16,600.900024,604.900024,581.549988,588.650024,588.650024,3622078
2018-07-17,583.500000,618.500000,582.000000,614.900024,614.900024,2737940
2018-07-18,618.099976,624.000000,602.000000,619.450012,619.450012,5980928
2018-07-19,622.500000,625.000000,609.000000,618.599976,618.599976,3215968
2018-07-20,619.000000,622.000000,612.099976,615.549988,615.549988,1781518
2018-07-23,615.000000,622.250000,608.349976,610.150024,610.150024,6045780
2018-07-24,613.349976,625.000000,606.000000,615.150024,615.150024,4896974
2018-07-25,616.000000,621.400024,610.950012,612.650024,612.650024,5605371
2018-07-26,613.900024,635.000000,613.000000,623.150024,623.150024,7889824
2018-07-27,626.700012,630.799988,611.549988,615.599976,615.599976,2925962
2018-07-30,616.700012,620.799988,611.000000,614.849976,614.849976,2716980
2018-07-31,617.700012,617.799988,599.049988,600.500000,600.500000,3122225
2018-08-01,601.650024,603.950012,589.150024,590.900024,590.900024,7139231
2018-08-02,591.099976,620.150024,588.000000,602.349976,602.349976,7603935
2018-08-03,606.000000,629.200012,602.849976,625.700012,625.700012,7123070
2018-08-06,631.450012,636.000000,620.049988,622.349976,622.349976,5457481
2018-08-07,623.000000,626.000000,610.250000,612.450012,612.450012,2545188
2018-08-08,614.700012,619.950012,608.599976,610.500000,610.500000,3081522
2018-08-09,613.349976,623.650024,612.000000,616.000000,616.000000,2203006
2018-08-10,619.000000,620.750000,609.000000,611.349976,611.349976,1795541
2018-08-13,609.500000,624.849976,607.299988,622.250000,622.250000,3381330
2018-08-14,629.900024,665.500000,625.200012,658.200012,658.200012,10109229
2018-08-16,656.799988,663.700012,644.000000,648.349976,648.349976,3017390
2018-08-17,652.400024,673.599976,649.500000,670.349976,670.349976,4385256
2018-08-20,674.849976,684.900024,668.349976,671.950012,671.950012,5144479
2018-08-21,676.799988,681.750000,659.049988,665.849976,665.849976,5754601
2018-08-23,668.000000,668.000000,651.150024,659.400024,659.400024,2423862
2018-08-24,655.049988,666.599976,652.099976,658.000000,658.000000,1999178
2018-08-27,658.000000,663.549988,654.500000,656.650024,656.650024,1725486
2018-08-28,656.700012,674.500000,653.000000,666.799988,666.799988,2664161
2018-08-29,668.000000,672.650024,662.400024,666.450012,666.450012,2925940
2018-08-30,668.000000,674.200012,657.400024,665.349976,665.349976,4235763
2018-08-31,664.000000,676.900024,662.000000,667.650024,667.650024,4049806
2018-09-03,669.750000,691.500000,660.299988,679.250000,679.250000,6716170
2018-09-04,681.000000,682.000000,647.000000,651.750000,651.750000,3459672
2018-09-05,647.000000,652.349976,639.549988,646.500000,646.500000,3815603
2018-09-06,652.000000,654.000000,640.000000,648.599976,648.599976,3095095
2018-09-07,647.900024,657.700012,643.099976,647.750000,647.750000,1812045
2018-09-10,646.900024,651.750000,628.099976,632.299988,632.299988,4646372
2018-09-11,633.950012,633.950012,610.000000,611.700012,611.700012,4093167
2018-09-12,610.950012,618.000000,607.049988,610.150024,610.150024,7340775
2018-09-14,615.000000,624.500000,613.000000,614.200012,614.200012,5318535
2018-09-17,612.000000,616.900024,607.450012,610.200012,610.200012,4951135
2018-09-18,611.000000,619.400024,608.349976,610.549988,610.549988,4788983
2018-09-19,612.400024,615.950012,610.000000,610.549988,610.549988,5463048
2018-09-21,615.150024,615.150024,274.750000,350.549988,350.549988,115298628
2018-09-24,385.600006,438.149994,371.649994,393.899994,393.899994,79286487
2018-09-25,395.000000,396.450012,256.049988,299.450012,299.450012,129310441
2018-09-26,311.000000,320.000000,277.000000,305.450012,305.450012,69609470
2018-09-27,308.000000,314.700012,280.000000,290.200012,290.200012,41546114
2018-09-28,296.049988,301.750000,252.649994,274.950012,274.950012,34815340
2018-10-01,275.000000,324.000000,265.000000,318.500000,318.500000,36573239
2018-10-03,317.899994,333.700012,304.049988,317.649994,317.649994,29658538
2018-10-04,305.000000,313.899994,291.000000,297.299988,297.299988,20356991
2018-10-05,292.000000,305.799988,265.000000,275.149994,275.149994,15228207
2018-10-08,274.000000,274.000000,206.399994,223.100006,223.100006,54962924
2018-10-09,214.600006,257.450012,193.399994,245.050003,245.050003,55650755
2018-10-10,256.000000,292.700012,250.000000,284.500000,284.500000,51547574
2018-10-11,256.049988,299.899994,242.000000,289.649994,289.649994,48305144
2018-10-12,302.049988,312.000000,290.000000,292.250000,292.250000,19863839
2018-10-15,292.000000,295.299988,270.100006,281.600006,281.600006,22857830
2018-10-16,285.000000,289.799988,266.450012,268.799988,268.799988,23048046
2018-10-17,272.000000,274.299988,234.199997,235.899994,235.899994,41149209
2018-10-19,228.000000,243.750000,205.000000,210.550003,210.550003,53396086
2018-10-22,200.000000,216.199997,185.600006,188.399994,188.399994,52073420
2018-10-23,182.899994,207.000000,178.649994,192.899994,192.899994,50834137
2018-10-24,199.000000,204.949997,185.050003,190.300003,190.300003,34710424
2018-10-25,185.000000,188.000000,176.100006,183.850006,183.850006,27268536
2018-10-26,180.000000,195.300003,177.000000,184.100006,184.100006,28089176
2018-10-29,187.000000,189.399994,180.300003,185.199997,185.199997,19037602
2018-10-30,185.100006,219.699997,185.100006,207.100006,207.100006,49394410
2018-10-31,213.399994,227.800003,211.399994,225.100006,225.100006,38964819
2018-11-01,229.399994,241.800003,227.050003,231.550003,231.550003,25104360
2018-11-02,235.000000,240.000000,226.500000,231.399994,231.399994,24138633
2018-11-05,232.000000,237.000000,203.100006,220.350006,220.350006,33151077
2018-11-06,223.550003,234.500000,223.550003,228.000000,228.000000,14939699
2018-11-07,230.300003,235.000000,229.649994,230.500000,230.500000,2337674
2018-11-09,232.000000,233.899994,227.000000,232.649994,232.649994,10177259
2018-11-12,235.000000,249.699997,232.050003,241.550003,241.550003,23851149
2018-11-13,240.000000,243.550003,231.399994,237.199997,237.199997,12943050
2018-11-14,239.100006,244.899994,236.550003,238.899994,238.899994,10653510
2018-11-15,239.000000,246.699997,228.399994,244.350006,244.350006,12359848
2018-11-16,245.449997,247.000000,222.350006,225.350006,225.350006,16251271
2018-11-19,227.000000,235.000000,225.699997,231.399994,231.399994,9529435
2018-11-20,229.649994,241.449997,220.000000,225.300003,225.300003,22120570
2018-11-21,227.699997,238.800003,224.250000,234.850006,234.850006,24463945
2018-11-22,238.649994,242.850006,230.000000,232.750000,232.750000,20766936
2018-11-26,234.899994,234.899994,218.600006,222.399994,222.399994,12876386
2018-11-27,223.699997,227.850006,217.250000,222.000000,222.000000,11852507
2018-11-28,221.000000,221.050003,201.399994,208.949997,208.949997,23687833
2018-11-29,209.800003,210.699997,197.500000,199.949997,199.949997,16701239
2018-11-30,207.000000,216.850006,207.000000,212.750000,212.750000,21239611
2018-12-03,214.000000,219.800003,212.649994,217.699997,217.699997,10513054
2018-12-04,219.000000,227.699997,216.199997,224.199997,224.199997,14753395
2018-12-05,222.850006,222.850006,206.449997,210.899994,210.899994,12582126
2018-12-06,209.500000,209.800003,202.500000,205.649994,205.649994,8320311
2018-12-07,208.000000,210.000000,200.100006,202.600006,202.600006,7328622
2018-12-10,195.000000,201.000000,193.000000,198.199997,198.199997,7910948
2018-12-11,194.000000,209.949997,193.500000,206.449997,206.449997,11057807
2018-12-12,211.000000,215.600006,209.100006,213.850006,213.850006,8408588
2018-12-13,218.100006,228.699997,216.500000,218.449997,218.449997,14433085
2018-12-14,219.000000,221.000000,215.300003,216.649994,216.649994,6428148
2018-12-17,217.800003,219.750000,214.100006,218.000000,218.000000,4724600
2018-12-18,215.949997,218.800003,213.350006,214.050003,214.050003,4581599
2018-12-19,216.449997,230.000000,216.250000,227.399994,227.399994,17094676
2018-12-20,224.550003,242.300003,222.850006,238.149994,238.149994,24128201
2018-12-21,239.550003,245.699997,232.350006,240.649994,240.649994,20483987
2018-12-24,243.100006,244.449997,232.649994,234.600006,234.600006,8610047
2018-12-26,232.000000,239.300003,226.550003,237.949997,237.949997,10561279
2018-12-27,241.399994,243.350006,237.500000,239.649994,239.649994,10126105
2018-12-28,241.000000,243.500000,237.500000,240.350006,240.350006,6458677
2018-12-31,244.250000,252.399994,244.250000,249.399994,249.399994,17694140
2019-01-01,249.899994,249.899994,245.550003,246.350006,246.350006,5893712
2019-01-02,245.199997,249.350006,240.300003,241.699997,241.699997,7176965
2019-01-03,241.750000,244.300003,234.000000,235.649994,235.649994,5839267
2019-01-04,235.199997,239.300003,230.350006,238.050003,238.050003,7329962
2019-01-07,241.000000,242.399994,227.300003,228.800003,228.800003,6243654
2019-01-08,230.949997,232.399994,226.800003,231.100006,231.100006,6103301
2019-01-09,232.800003,233.399994,223.250000,227.149994,227.149994,6664452
2019-01-10,227.699997,229.649994,223.000000,224.100006,224.100006,4514692
2019-01-11,226.300003,226.399994,221.000000,222.449997,222.449997,3626974
2019-01-14,221.850006,224.250000,218.500000,220.899994,220.899994,4725432
2019-01-15,221.250000,225.500000,221.199997,223.750000,223.750000,3888640
2019-01-16,219.149994,227.350006,219.149994,223.100006,223.100006,5538351
2019-01-17,224.750000,226.350006,218.000000,219.800003,219.800003,4421460
2019-01-18,221.199997,222.850006,214.649994,216.050003,216.050003,4305225
2019-01-21,216.000000,217.949997,210.300003,211.800003,211.800003,3664959
2019-01-22,211.500000,213.699997,203.699997,205.300003,205.300003,6065268
2019-01-23,206.000000,213.300003,206.000000,209.600006,209.600006,6409510
2019-01-24,210.800003,210.800003,202.899994,207.649994,207.649994,4803404
2019-01-25,211.000000,223.800003,199.500000,209.100006,209.100006,26135632
2019-01-28,203.000000,205.600006,183.699997,184.899994,184.899994,23916011
2019-01-29,182.850006,184.000000,161.300003,169.699997,169.699997,43628379
2019-01-30,167.100006,169.600006,153.550003,161.449997,161.449997,57307542
2019-01-31,156.100006,157.500000,129.500000,135.899994,135.899994,93032836
2019-02-01,134.000000,134.500000,102.099998,111.199997,111.199997,94989171
2019-02-04,100.099998,126.699997,96.800003,115.500000,115.500000,116877027
2019-02-05,114.599998,123.699997,113.000000,122.300003,122.300003,45736545
2019-02-06,124.000000,125.000000,113.000000,119.349998,119.349998,27483120
2019-02-07,120.000000,122.750000,114.550003,115.699997,115.699997,18215871
2019-02-08,112.900002,116.500000,104.500000,109.150002,109.150002,20598446
2019-02-11,109.150002,109.650002,103.099998,104.849998,104.849998,18177580
2019-02-12,104.400002,108.750000,103.500000,106.449997,106.449997,12866364
2019-02-14,104.000000,131.350006,103.949997,127.949997,127.949997,54153006
2019-02-15,128.100006,129.449997,121.000000,123.199997,123.199997,19036558
2019-02-18,124.900002,135.500000,124.900002,128.850006,128.850006,32069129
2019-02-19,129.000000,130.500000,125.199997,126.750000,126.750000,11188343
2019-02-20,127.400002,131.300003,126.750000,130.350006,130.350006,9380032
2019-02-21,131.449997,141.750000,131.449997,137.149994,137.149994,23133535
2019-02-22,138.000000,142.500000,137.550003,139.199997,139.199997,14438762
2019-02-25,142.000000,143.399994,135.100006,136.750000,136.750000,11792540
2019-02-26,130.500000,134.899994,125.449997,130.600006,130.600006,22322829
2019-02-27,132.100006,136.250000,127.500000,128.199997,128.199997,14292134
2019-02-28,128.000000,130.449997,126.599998,127.400002,127.400002,13919890
2019-03-01,127.550003,132.500000,127.400002,128.800003,128.800003,13312683
2019-03-05,129.399994,135.250000,129.399994,133.899994,133.899994,17764598
2019-03-06,147.250000,162.300003,147.250000,148.750000,148.750000,51106855
2019-03-07,150.699997,152.000000,138.199997,141.600006,141.600006,30408622
2019-03-08,141.600006,144.250000,138.850006,139.850006,139.850006,13328310
2019-03-11,138.149994,139.300003,130.750000,132.800003,132.800003,21197479
2019-03-12,133.949997,135.600006,128.399994,128.850006,128.850006,18315985
2019-03-13,129.449997,131.300003,126.699997,127.900002,127.900002,15831063
2019-03-14,134.250000,136.699997,130.300003,131.899994,131.899994,22993776
2019-03-15,132.699997,133.300003,128.399994,132.199997,132.199997,15648972
2019-03-18,136.000000,140.000000,134.300003,135.899994,135.899994,22946837
2019-03-19,137.800003,138.000000,134.100006,136.199997,136.199997,10116659
2019-03-20,138.800003,140.000000,136.399994,137.600006,137.600006,13340293
2019-03-22,137.600006,137.800003,132.550003,133.750000,133.750000,9713258
2019-03-25,130.399994,131.300003,127.400002,130.250000,130.250000,9086139
2019-03-26,129.500000,136.500000,129.500000,135.300003,135.300003,9788031
2019-03-27,136.949997,140.000000,135.149994,136.550003,136.550003,14156526
2019-03-28,137.500000,154.800003,137.500000,149.500000,149.500000,64167497
2019-04-01,152.050003,153.300003,146.500000,149.100006,149.100006,14133347
2019-04-02,149.649994,150.100006,142.800003,145.000000,145.000000,13496504
2019-04-03,145.899994,152.850006,145.050003,148.000000,148.000000,23490110
2019-04-04,149.000000,150.750000,146.500000,148.899994,148.899994,13145366
2019-04-05,149.750000,165.500000,149.500000,163.500000,163.500000,65545304
2019-04-08,166.600006,169.850006,157.300003,161.199997,161.199997,35281349
2019-04-09,161.600006,168.850006,154.000000,167.399994,167.399994,35063243
2019-04-10,165.449997,172.899994,164.699997,167.649994,167.649994,30986439
2019-04-11,167.899994,174.550003,163.149994,172.649994,172.649994,37160448
2019-04-12,167.899994,173.399994,166.000000,167.050003,167.050003,21761781
2019-04-15,169.250000,169.949997,166.199997,167.199997,167.199997,9298244
2019-04-16,167.000000,176.449997,166.199997,171.000000,171.000000,21723491
2019-04-18,172.399994,172.899994,155.649994,157.100006,157.100006,25656182
2019-04-22,153.000000,153.050003,138.600006,140.050003,140.050003,29400620
2019-04-23,139.000000,148.600006,136.300003,140.149994,140.149994,32161880
2019-04-24,141.000000,146.300003,141.000000,144.750000,144.750000,16152532
2019-04-25,145.399994,151.000000,143.050003,144.600006,144.600006,16168205
2019-04-26,147.500000,148.899994,140.600006,143.250000,143.250000,14637228
2019-04-30,143.100006,143.199997,129.149994,135.149994,135.149994,23539919
2019-05-02,134.000000,142.250000,130.600006,133.899994,133.899994,20108619
2019-05-03,134.699997,142.800003,131.199997,141.300003,141.300003,29016019
2019-05-06,139.649994,139.649994,132.100006,132.949997,132.949997,20724420
2019-05-07,134.100006,135.500000,114.849998,116.599998,116.599998,40282663
